DatalogToCPPRealTime,DatalogToCPPCPUTime,CompileRealTime,CompileCPUTime,InstanceLoadingRealTime,InstanceLoadingCPUTime,LoadingFactRealTime,LoadingFactCPUTime,QueryRealTime,QueryCPUTime,WritingResultRealTime,WritingResultCPUTime
0.039999961853027344,0.03,1.4700000286102295,1.49,0.0,0.0,0.00583463,0.005833,44.8464,44.733,0.229745,0.227209
0.08000016212463379,0.04,1.7400000095367432,1.67,0.000166834,0.000166,0.009015,0.00875,45.0162,44.8839,0.226317,0.222172
0.08000016212463379,0.04,1.7300000190734863,1.65,0.000143875,0.000143,0.00896842,0.008699,44.7745,44.6668,0.227568,0.223527
0.08999991416931152,0.04,1.7300000190734863,1.64,0.000130417,0.000129,0.00842062,0.008042,44.7259,44.6341,0.221787,0.220162
0.07999992370605469,0.05,1.690000057220459,1.5999999999999999,0.000169,0.000169,0.0100264,0.009749,0.0,44.8844,0.227692,0.222488
0.07999992370605469,0.05,1.7100000381469727,1.6099999999999999,0.000119458,0.000118,0.00810712,0.007848,44.7951,44.6886,0.222005,0.220337
0.07999992370605469,0.05,1.7400000095367432,1.64,0.000144416,0.000143,0.00917604,0.008904,44.8704,44.75,0.222465,0.22154
0.09000015258789062,0.04,1.6299998760223389,1.5399999999999998,0.000168791,0.000167,0.00723908,0.007081,44.9228,44.8024,0.233773,0.229773
0.08999991416931152,0.05,1.7000000476837158,1.5999999999999999,0.000167042,0.000165,0.01082,0.010542,45.0015,44.8713,0.231183,0.22729
0.08999991416931152,0.04,1.75,1.66,0.000144792,0.000143,0.00911671,0.008851,45.0509,44.9148,0.228815,0.223859
Average,0.07999999523162842,0.043,1.6890000104904175,1.6099999999999999,0.0001354625,0.0001343,0.008672402,0.0084299,40.40037,44.78293,0.227135,0.22383570000000003
