DatalogToCPPRealTime,DatalogToCPPCPUTime,DatalogToCPPMaxRAM_MB,CompileRealTime,CompileCPUTime,CompileMaxRAM_MB,InstanceLoadingRealTime,InstanceLoadingCPUTime,InstanceLoadingMaxRAM_MB,LoadingFactRealTime,LoadingFactCPUTime,LoadingFactMaxRAM_MB,QueryRealTime,QueryCPUTime,QueryMaxRAM_MB,WritingResultRealTime,WritingResultCPUTime,WritingResultMaxRAM_MB
0.008329375006724149,0.00013500000000021828,0.125,1.5082959170104004,0.4297740000000658,252.796875,0.000118375,0.000118,0.0,0.00101137,0.000367,0.0,0.0,0.0,0.125,0.000214292,0.000214,0.0
0.008618167019449174,0.00013400000000274304,0.125,1.4956442089751363,0.4308600000000524,253.40625,0.0,0.0,0.0,0.000269416,0.000269,0.0,0.0,0.0,0.25,0.000236125,0.000236,0.0
0.009928541956469417,0.00015699999994467362,0.125,1.5923065830138512,0.12790700000005018,123.703125,0.000100667,0.000101,0.0,0.000282583,0.000282,0.0,0.0,0.0,0.125,0.000206167,0.000205,0.0
0.008041792025323957,0.0001260000000229411,0.125,1.4723115000524558,0.43355399999995825,252.75,0.0,0.0,0.0,0.000263417,0.000263,0.0,0.0,0.0,0.71875,0.000216833,0.000216,0.0
0.008396290999371558,0.00020700000004580943,0.125,1.4501280839904211,0.40666299999998046,252.765625,0.000103042,0.000102,0.0,0.000277875,0.000277,0.0,0.0,0.0,0.546875,0.000209625,0.000209,0.0
Average,0.00866283340146765,0.00015180000000327709,0.125,1.503737258608453,0.36575160000002144,227.084375,6.44168e-05,6.42e-05,0.0,0.00042093219999999996,0.00029160000000000004,0.0,0.0,0.0,0.353125,0.0002166084,0.000216,0.0
0.015777666005305946,0.0057010000000019545,2.6875,2.036460084025748,0.6495960000000025,255.0625,0.0,0.0,0.0,0.00109142,0.00033,0.0,0.0,0.0,0.125,0.000307083,0.000306,0.0
0.01112041698070243,0.00022900000000447562,0.125,1.8547481250134297,0.5817869999999914,253.125,0.0,0.0,0.0,0.000244375,0.000244,0.0,0.0,0.0,0.125,0.00022475,0.000225,0.0
0.010233375011011958,0.00019199999999841566,0.125,1.871113958011847,0.5842719999999986,252.796875,0.0,0.0,0.0,0.000230041,0.000229,0.0,0.0,0.0,0.125,0.000191375,0.000191,0.0
0.012048333999700844,0.000618000000002894,0.125,2.07954200002132,0.6604779999999977,238.15625,0.0,0.0,0.0,0.000209041,0.000208,0.0,0.0,0.0,0.125,0.000177375,0.000177,0.0
0.027941874985117465,0.006613000000001534,2.84375,1.9028032500064,0.6046400000000034,253.109375,0.0,0.0,0.0,0.000229166,0.000228,0.0,0.0,0.0,0.125,0.000168875,0.000168,0.0
Average,0.01204358339891769,0.001411200000002566,0.653125,1.726335371012101,0.4909531000000101,238.7671875,3.22084e-05,3.21e-05,0.0,0.00041087039999999995,0.0002697,0.0,0.0,0.0,0.2390625,0.00021525,0.00021470000000000001,0.0
