Query: query1
384, 394
128, 258
128, 388
128, 198
128, 328
128, 138
128, 268
128, 398
128, 208
128, 338
128, 148
128, 278
128, 218
128, 348
128, 158
128, 288
128, 228
128, 358
128, 168
128, 298
128, 238
128, 368
128, 178
128, 308
128, 248
128, 378
128, 188
128, 318
256, 386
256, 326
256, 266
256, 396
256, 336
256, 276
256, 346
256, 286
256, 356
256, 296
256, 366
256, 306
256, 376
256, 316
385, 395
1, 321
1, 131
1, 261
1, 391
1, 71
1, 201
1, 331
1, 11
1, 141
1, 271
1, 81
1, 211
1, 341
1, 21
1, 151
1, 281
1, 91
1, 221
1, 351
1, 31
1, 161
1, 291
1, 101
1, 231
1, 361
1, 41
1, 171
1, 301
1, 111
1, 241
1, 371
1, 51
1, 181
1, 311
1, 121
1, 251
1, 381
1, 61
1, 191
129, 259
129, 389
129, 199
129, 329
129, 139
129, 269
129, 399
129, 209
129, 339
129, 149
129, 279
129, 219
129, 349
129, 159
129, 289
129, 229
129, 359
129, 169
129, 299
129, 239
129, 369
129, 179
129, 309
129, 249
129, 379
129, 189
129, 319
257, 387
257, 327
257, 267
257, 397
257, 337
257, 277
257, 347
257, 287
257, 357
257, 297
257, 367
257, 307
257, 377
257, 317
386, 396
258, 388
258, 328
258, 268
258, 398
258, 338
258, 278
258, 348
258, 288
258, 358
258, 298
258, 368
258, 308
258, 378
258, 318
2, 192
2, 322
2, 132
2, 262
2, 392
2, 72
2, 202
2, 332
2, 12
2, 142
2, 272
2, 82
2, 212
2, 342
2, 22
2, 152
2, 282
2, 92
2, 222
2, 352
2, 32
2, 162
2, 292
2, 102
2, 232
2, 362
2, 42
2, 172
2, 302
2, 112
2, 242
2, 372
2, 52
2, 182
2, 312
2, 122
2, 252
2, 382
2, 62
130, 320
130, 260
130, 390
130, 200
130, 330
130, 140
130, 270
130, 400
130, 210
130, 340
130, 150
130, 280
130, 220
130, 350
130, 160
130, 290
130, 230
130, 360
130, 170
130, 300
130, 240
130, 370
130, 180
130, 310
130, 250
130, 380
130, 190
387, 397
259, 389
259, 329
259, 269
259, 399
259, 339
259, 279
259, 349
259, 289
259, 359
259, 299
259, 369
259, 309
259, 379
259, 319
3, 193
3, 323
3, 133
3, 263
3, 393
3, 73
3, 203
3, 333
3, 13
3, 143
3, 273
3, 83
3, 213
3, 343
