CreateTableRealTime,CreateTableCPUTime,LoadDataRealTime,LoadDataCPUTime,CreateIndexRealTime,CreateIndexCPUTime,AnalyzeRealTime,AnalyzeCPUTime,ExecuteQueryRealTime,ExecuteQueryCPUTime,WriteResultRealTime,WriteResultCPUTime
0.14000000059604645,0.11,0.13000000268220901,0.07,0.07999999821186066,0.01999999999999999,0.030000001192092896,0.03,0.5399999991059303,0.030000000000000013,0.030000001192092896,0.04000000000000001
0.03999999910593033,0.01,0.03999999910593033,0.05000000000000001,0.04999999701976776,0.030000000000000006,0.040000006556510925,0.03,0.11999999731779099,0.029999999999999992,0.030000001192092896,0.03
0.05000000447034836,0.03,0.03999999910593033,0.03,0.04999999701976776,0.029999999999999995,0.05000000447034836,0.03,0.08999999612569809,0.03,0.03999999910593033,0.04000000000000001
0.03999999910593033,0.03,0.05000000447034836,0.04000000000000001,0.04999999701976776,0.04,0.05000000447034836,0.04000000000000001,0.12999999523162842,0.03,0.03999999910593033,0.03999999999999999
0.03999999910593033,0.03,0.05000000447034836,0.04,0.06000000238418579,0.030000000000000006,0.03999999910593033,0.05,0.09999999403953552,0.039999999999999994,0.040000006556510925,0.04000000000000002
0.040000006556510925,0.04,0.059999994933605194,0.030000000000000006,0.06000000238418579,0.05,0.06000000238418579,0.039999999999999994,0.10999999940395355,0.04000000000000001,0.03999999910593033,0.04999999999999999
0.059999994933605194,0.05,0.07000000029802322,0.05,0.07999999821186066,0.05,0.07000000029802322,0.05,0.14000000059604645,0.07,0.05000000447034836,0.05
0.07000000029802322,0.04,0.059999994933605194,0.05,0.07999999821186066,0.04999999999999999,0.06000000238418579,0.05,0.11999999731779099,0.04999999999999999,0.06000000238418579,0.05000000000000002
0.06000000238418579,0.03,0.04999999701976776,0.04000000000000001,0.07999999821186066,0.06,0.05000000447034836,0.04000000000000001,0.10999999940395355,0.04999999999999999,0.04999999701976776,0.040000000000000015
0.06000000238418579,0.03,0.04999999701976776,0.05,0.06000000238418579,0.04000000000000001,0.04999999701976776,0.04,0.12000000476837158,0.039999999999999994,0.04999999701976776,0.05
Average,0.06000000089406967,0.04,0.05999999940395355,0.045,0.06499999910593032,0.04,0.05000000223517418,0.039999999999999994,0.15799999833106995,0.040999999999999995,0.04300000071525574,0.043
