LoadRulesRealTime,LoadRulesCPUTime,LoadFactsRealTime,LoadFactsCPUTime,GroundRealTime,GroundCPUTime,QueryRealTime,QueryCPUTime,WriteRealTime,WriteCPUTime
0.0,0.0,0.0,0.0,0.809999942779541,0.8099999999999999,0.009999990463256836,0.0,0.09000015258789062,0.10000000000000009
0.0,0.0,0.0,0.0,0.809999942779541,0.8099999999999999,0.009999990463256836,0.0,0.08000016212463379,0.10000000000000009
0.0,0.0,0.0,0.0,0.809999942779541,0.8099999999999999,0.0,0.0,0.09999990463256836,0.10000000000000009
0.0,0.0,0.0,0.0,0.7799999713897705,0.78,0.009999990463256836,0.010000000000000009,0.08999991416931152,0.08999999999999997
0.0,0.0,0.0,0.009999999999999998,0.8000001907348633,0.7899999999999999,0.009999990463256836,0.010000000000000009,0.08999991416931152,0.10000000000000007
0.0,0.0,0.0,0.0,0.7999999523162842,0.79,0.0,0.009999999999999898,0.10000014305114746,0.09000000000000019
0.0,0.0,0.0,0.0,0.7899999618530273,0.79,0.0,0.0,0.10000014305114746,0.09999999999999998
0.0,0.0,0.009999990463256836,0.0,0.7999999523162842,0.7999999999999999,0.0,0.0,0.09999990463256836,0.10000000000000009
0.0,0.0,0.0,0.0,0.8199999332427979,0.82,0.009999990463256836,0.010000000000000009,0.08999991416931152,0.08999999999999997
0.0,0.0,0.0,0.0,0.8100001811981201,0.8099999999999999,0.009999990463256836,0.0,0.08999991416931152,0.10000000000000009
Average,0.0,0.0,0.0009999990463256836,0.0009999999999999998,0.8029999971389771,0.8009999999999999,0.005999994277954101,0.003999999999999992,0.09300000667572021,0.09700000000000006
