Graph type,XSB,PostgreSQL,MariaDB,DuckDB,CockroachDB
Cmpl_{n=1000},50.89090518951416,162.7351721247891,,11.402703950216528,104.84871657479088
MaxAcyc_{n=1000},7.838624429702759,16.49355118359672,1304.0135120748077,2.364006024796981,18.12702109159436
Cyc_{n=1000},0.09071569442749021,1.4916853165836073,9.642374766606371,0.24180871661519632,1.5069217498064973
"CycExtra_{n=1000,k=10}",0.7187887668609618,2.168928066594526,57.57795390019892,0.2732966167968698,2.376977383601479
Path_{n=1000},0.04003148078918458,0.7487920582061633,2.683430441422388,0.18660038320813327,1.0474681417923422
"PathDisj_{n=1000,k=10}",0.42698702812194816,7.688989308394957,72.01812755838037,0.6813774999929592,76.53208919160534
Grid_{n=1000},0.03340439796447756,0.3494617750053294,0.8586470832349733,0.038034966797567904,0.4602495418046601
BinTree_{h=10},0.000457191467285156,0.010415474779438227,0.05541192539967597,0.002302633412182331,0.24092649979284034
BinTreeRev_{h=10},0.000311613082885742,0.009639833192341029,0.05745622478425503,0.00274776661535725,0.25068800840526817
"X_{n=1000, k=10}",0.0006904125213623045,0.01921676639467478,0.09060260821133852,0.0017638163990341127,0.24321556659415364
"Y_{n=1000,k=10}",0.0006643295288085939,0.021237900003325195,0.0875706415856257,0.003112666599918157,0.23630594979040326
"W_{n=1000,k=10}",0.0013750076293945301,0.012374483398161829,0.053783433395437896,0.0012508417945355176,0.24046079999534414
