Graph type,XSB,PostgreSQL,MariaDB,DuckDB,Neo4J,CockroachDB
Cmpl_{n=1000},50.868073599999995,0.0003157999999999883,,17.6749464,,0.00029719999999999747
MaxAcyc_{n=1000},7.883575800000001,0.00028140000000000944,0.0002024000000000026,4.4799092,,0.0002337999999999951
Cyc_{n=1000},0.0839126,0.00020000000000001129,0.00016260000000001273,0.5138366,,0.00018839999999999967
"CycExtra_{n=1000,k=10}",0.7310082,0.00017720000000001068,0.00016639999999999987,0.38932700000000003,,0.00019319999999999337
Path_{n=1000},0.0374298,0.00018299999999997761,0.00011460000000002024,0.36431240000000004,,0.00013500000000000735
"PathDisj_{n=1000,k=10}",0.3937694,0.0002887999999999891,0.00016100000000000004,1.0160336,,0.00031660000000001133
Grid_{n=1000},0.031685,0.00018959999999998978,0.00011239999999999029,0.06689220000000001,,0.00013659999999999785
BinTree_{h=10},0.0004378000000000002,3.859999999997754e-05,4.5200000000000794e-05,0.00410640000000001,,0.00012499999999998623
BinTreeRev_{h=10},0.0002980000000000008,3.7600000000004295e-05,3.1800000000004046e-05,0.004931799999999986,,0.00016040000000000498
"X_{n=1000, k=10}",0.0006276,2.3599999999990294e-05,8.959999999998968e-05,0.0027958000000000037,,0.00014260000000000385
"Y_{n=1000,k=10}",0.0005911999999999998,3.16000000000094e-05,7.519999999998639e-05,0.004803199999999996,,0.00012820000000000054
"W_{n=1000,k=10}",0.001312,2.5600000000003397e-05,0.00012519999999999198,0.0018944000000000072,,0.0001439999999999886
