CreateTableRealTime,CreateTableCPUTime,LoadDataRealTime,LoadDataCPUTime,CreateIndexRealTime,CreateIndexCPUTime,AnalyzeRealTime,AnalyzeCPUTime,ExecuteQueryRealTime,ExecuteQueryCPUTime,WriteResultRealTime,WriteResultCPUTime
0.0,0.0,0.009999997913837433,0.0,0.0,0.0,0.0,0.0,0.01000000536441803,0.020000000000000004,0.0,0.0
0.0,0.0,0.009999997913837433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999997913837433,0.019999999999999997,0.0,0.0
0.0,0.0,0.009999997913837433,0.0,0.0,0.019999999999999997,0.0,0.0,0.01000000536441803,0.010000000000000009,0.0,0.0
0.0,0.019999999999999997,0.009999997913837433,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01000000536441803,0.010000000000000009
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999997913837433,0.01000000000000001,0.0,0.0
0.0,0.0,0.0,0.02,0.009999997913837433,0.0,0.0,0.0,0.0,0.020000000000000004,0.009999997913837433,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01000000536441803,0.01,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999997913837433,0.01999999999999999,0.0,0.0
0.0,0.0,0.0,0.020000000000000004,0.009999997913837433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Average,0.0,0.0019999999999999996,0.0039999991655349735,0.004000000000000001,0.0019999995827674867,0.0019999999999999996,0.0,0.0,0.006000000983476639,0.012,0.0020000003278255463,0.0010000000000000009
