LoadRulesRealTime,LoadRulesCPUTime,LoadFactsRealTime,LoadFactsCPUTime,QueryRealTime,QueryCPUTime,WriteRealTime,WriteCPUTime
0.00103187561035156,0.000601000000000001,0.000522136688232422,0.000307999999999999,0.0776638984680176,0.077196,0.01884102821350099,0.018096
0.00110006332397461,0.000645,0.00049281120300293,0.000317,0.0782740116119385,0.07758,0.019019126892089802,0.018414
0.00104713439941406,0.000592000000000001,0.000520944595336914,0.000300999999999999,0.0789330005645752,0.078246,0.017511129379272503,0.017013
0.0010228157043457,0.000588999999999999,0.000517129898071289,0.000301000000000001,0.0778999328613281,0.077317,0.019737958908081096,0.019025
0.00105786323547363,0.000621,0.000532150268554688,0.000313000000000001,0.0780467987060547,0.07749,0.018401145935058594,0.0179
0.00104689598083496,0.000610000000000001,0.00053095817565918,0.000321,0.0780320167541504,0.077405,0.022319078445434598,0.01997
0.00102710723876953,0.000595,0.000519037246704102,0.000305999999999999,0.0783669948577881,0.077726,0.020446062088012695,0.018680000000000002
0.00106000900268555,0.000604,0.000487089157104492,0.000313000000000001,0.0787820816040039,0.077995,0.01824593544006349,0.017706
0.00103092193603516,0.00059,0.000507116317749023,0.000299999999999998,0.07818603515625,0.077535,0.0195269584655762,0.018936999999999996
0.00104594230651855,0.0006,0.000519037246704102,0.000301000000000001,0.0782270431518555,0.077659,0.01889395713806151,0.018151
Average,0.001047062873840331,0.0006047000000000003,0.0005148410797119142,0.00030809999999999985,0.07824118137359619,0.07761490000000001,0.01929423809051515,0.018389199999999998
